IdZonaNC;NombreDepartamento;NombreMunicipio;Anio;Mes;EnergiaActiva;EnergiaReactiva;DiaDemandaMaxima;PotenciaMaxima;FechaDemandaMaxima;PromedioDiarioHoras
3;amazonas;leticia;2024;enero;4059520.0;1044020.0;1;758108.0;1/03/2024;24.0
82;amazonas;leticia;2023;enero;3696990.0;1065330.0;27;713296.0;27/01/2023;24.0
83;amazonas;el encanto;2023;enero;112349.0;39609.0;24;22898.0;24/01/2023;23.59
126;amazonas;leticia;2022;enero;3835280.0;1145150.0;19;71715.0;19/01/2022;24.0
127;amazonas;el encanto;2022;enero;104004.0;37309.0;1;22722.0;1/05/2022;23.55
171;amazonas;leticia;2021;enero;3537400.0;1119180.0;18;666981.0;18/01/2021;24.0
172;amazonas;el encanto;2021;enero;101522.0;36398.0;28;20117.0;28/01/2021;24.0
211;amazonas;leticia;2020;enero;3930640.0;1251190.0;27;776876.0;27/01/2020;24.0
212;amazonas;el encanto;2020;enero;103897.0;36304.0;22;22704.0;22/01/2020;24.0
256;amazonas;leticia;2024;febrero;3993530.0;1008300.0;23;850711.0;23/02/2024;24.0
321;amazonas;leticia;2023;febrero;3393310.0;960122.0;14;710301.0;14/02/2023;24.0
322;amazonas;el encanto;2023;febrero;104321.0;36516.0;18;22264.0;18/02/2023;24.0
363;amazonas;leticia;2022;febrero;3397360.0;1010460.0;2;728815.0;2/01/2022;24.0
364;amazonas;el encanto;2022;febrero;97153.0;34791.0;2;21349.0;2/10/2022;24.0
414;amazonas;leticia;2021;febrero;3172480.0;978658.0;15;66091.0;15/02/2021;24.0
415;amazonas;el encanto;2021;febrero;91382.0;31667.0;2;20152.0;2/10/2021;23.58
461;amazonas;leticia;2020;febrero;3718230.0;1157330.0;2;734736.0;2/05/2020;24.0
462;amazonas;el encanto;2020;febrero;99758.0;35858.0;2;22141.0;2/04/2020;23.58
507;amazonas;leticia;2024;marzo;4194510.0;1068040.0;22;821606.0;22/03/2024;24.0
541;amazonas;leticia;2023;marzo;3917990.0;1104050.0;21;773483.0;21/03/2023;24.0
542;amazonas;el encanto;2023;marzo;118535.0;41866.0;3;23883.0;3/08/2023;24.0
602;amazonas;leticia;2022;marzo;3724790.0;1103080.0;18;732214.0;18/03/2022;23.57
