Entity,Code,Year,Annual CO₂ emissions (per capita)
Colombia,COL,1856,0.0040071183
Colombia,COL,1857,0.0073064007
Colombia,COL,1858,0.007823298
Colombia,COL,1859,0.0020233437
Colombia,COL,1860,0.0035302788
Colombia,COL,1861,0.004606907
Colombia,COL,1862,0.010472428
Colombia,COL,1863,0.009360362
Colombia,COL,1864,0.0075442423
Colombia,COL,1865,0.003940711
Colombia,COL,1866,0.031196771
Colombia,COL,1867,0.018872336
Colombia,COL,1868,0.029503398
Colombia,COL,1869,0.008487499
Colombia,COL,1870,0.022364696
Colombia,COL,1871,0.048549984
Colombia,COL,1872,0.041767456
Colombia,COL,1873,0.0319515
Colombia,COL,1874,0.030024983
Colombia,COL,1875,0.028442156
Colombia,COL,1876,0.025555748
Colombia,COL,1877,0.025114648
Colombia,COL,1878,0.022105632
Colombia,COL,1879,0.024431415
Colombia,COL,1880,0.025470357
Colombia,COL,1881,0.020506293
Colombia,COL,1882,0.02944682
Colombia,COL,1883,0.036268517
Colombia,COL,1884,0.047335166
Colombia,COL,1885,0.07053171
Colombia,COL,1886,0.08513221
Colombia,COL,1887,0.07262702
Colombia,COL,1888,0.0904061
Colombia,COL,1889,0.03498387
Colombia,COL,1890,0.031955775
Colombia,COL,1891,0.026062468
Colombia,COL,1892,0.023268968
Colombia,COL,1893,0.026879312
Colombia,COL,1894,0.021075284
Colombia,COL,1895,0.026990082
Colombia,COL,1896,0.026106073
Colombia,COL,1897,0.021332553
Colombia,COL,1898,0.02045788
Colombia,COL,1899,0.018764738
Colombia,COL,1900,0.022880573
Colombia,COL,1901,0.03374009
Colombia,COL,1902,0.03211902
Colombia,COL,1903,0.022027697
Colombia,COL,1904,0.012538751
Colombia,COL,1905,0.0051836674
Colombia,COL,1906,0.0054506958
Colombia,COL,1907,0.0054412326
Colombia,COL,1908,0.0032686961
Colombia,COL,1909,0.0045130816
Colombia,COL,1910,0.0029113346
Colombia,COL,1911,0.0039913775
Colombia,COL,1912,0.004037327
Colombia,COL,1913,0.008417422
Colombia,COL,1914,0.009798033
