# IdEmision; NombrePais; Anio; TipoIndustria; Valor
1; colombia;1950; annual co? emissions from flaring;0
2; colombia;1951; annual co? emissions from flaring;0
3; colombia;1952; annual co? emissions from flaring;0
4; colombia;1953; annual co? emissions from flaring;0
5; colombia;1954; annual co? emissions from flaring;0
6; colombia;1955; annual co? emissions from flaring;0
7; colombia;1956; annual co? emissions from flaring;0
8; colombia;1957; annual co? emissions from flaring;0
9; colombia;1958; annual co? emissions from flaring;0
10; colombia;1959; annual co? emissions from flaring;501854
11; colombia;1960; annual co? emissions from flaring;366400
12; colombia;1961; annual co? emissions from flaring;307776
13; colombia;1962; annual co? emissions from flaring;271136
14; colombia;1963; annual co? emissions from flaring;340693
15; colombia;1964; annual co? emissions from flaring;670399
16; colombia;1965; annual co? emissions from flaring;1751110
17; colombia;1966; annual co? emissions from flaring;1711090
18; colombia;1967; annual co? emissions from flaring;1253090
19; colombia;1968; annual co? emissions from flaring;985480
20; colombia;1969; annual co? emissions from flaring;1352020
21; colombia;1970; annual co? emissions from flaring;1102860
22; colombia;1971; annual co? emissions from flaring;1260570
23; colombia;1972; annual co? emissions from flaring;1124720
24; colombia;1973; annual co? emissions from flaring;1044240
25; colombia;1974; annual co? emissions from flaring;1128400
26; colombia;1975; annual co? emissions from flaring;1436290
27; colombia;1976; annual co? emissions from flaring;1524080
28; colombia;1977; annual co? emissions from flaring;1561010
29; colombia;1978; annual co? emissions from flaring;1575520
30; colombia;1979; annual co? emissions from flaring;1429080
31; colombia;1980; annual co? emissions from flaring;103700000
32; colombia;1981; annual co? emissions from flaring;1146740
33; colombia;1982; annual co? emissions from flaring;1128420
34; colombia;1983; annual co? emissions from flaring;1216450
35; colombia;1984; annual co? emissions from flaring;1154160
36; colombia;1985; annual co? emissions from flaring;1106440
37; colombia;1986; annual co? emissions from flaring;100020000
38; colombia;1987; annual co? emissions from flaring;875696
39; colombia;1988; annual co? emissions from flaring;787760
40; colombia;1989; annual co? emissions from flaring;740077
41; colombia;1990; annual co? emissions from flaring;806132
42; colombia;1991; annual co? emissions from flaring;828064
43; colombia;1992; annual co? emissions from flaring;923328
44; colombia;1993; annual co? emissions from flaring;1132240
45; colombia;1994; annual co? emissions from flaring;968605
46; colombia;1995; annual co? emissions from flaring;1301210
47; colombia;1996; annual co? emissions from flaring;859938
48; colombia;1997; annual co? emissions from flaring;1866200
49; colombia;1998; annual co? emissions from flaring;1916180
50; colombia;1999; annual co? emissions from flaring;1319110
51; colombia;2000; annual co? emissions from flaring;1307210
52; colombia;2001; annual co? emissions from flaring;1609110
53; colombia;2002; annual co? emissions from flaring;1559070
54; colombia;2003; annual co? emissions from flaring;1269800
55; colombia;2004; annual co? emissions from flaring;1048540
56; colombia;2005; annual co? emissions from flaring;856762
57; colombia;2006; annual co? emissions from flaring;831108
58; colombia;2007; annual co? emissions from flaring;843935
59; colombia;2008; annual co? emissions from flaring;797578
60; colombia;2009; annual co? emissions from flaring;896843
61; colombia;2010; annual co? emissions from flaring;1068920
62; colombia;2011; annual co? emissions from flaring;1459830
63; colombia;2012; annual co? emissions from flaring;1850740
64; colombia;2013; annual co? emissions from flaring;1662420
65; colombia;2014; annual co? emissions from flaring;1626980
66; colombia;2015; annual co? emissions from flaring;1542760
67; colombia;2016; annual co? emissions from flaring;1109360
68; colombia;2017; annual co? emissions from flaring;1033550
69; colombia;2018; annual co? emissions from flaring;104502000
70; colombia;2019; annual co? emissions from flaring;100345000
71; colombia;2020; annual co? emissions from flaring;733038
72; colombia;2021; annual co? emissions from flaring;615765
73; colombia;2022; annual co? emissions from flaring;458168
74; colombia;2023; annual co? emissions from flaring;602775
75; colombia;1950; annual co? emissions from cement;279840
76; colombia;1951; annual co? emissions from cement;319674
77; colombia;1952; annual co? emissions from cement;345257
78; colombia;1953; annual co? emissions from cement;432480
79; colombia;1954; annual co? emissions from cement;476091
80; colombia;1955; annual co? emissions from cement;51606800
81; colombia;1956; annual co? emissions from cement;603467
82; colombia;1957; annual co? emissions from cement;606925
83; colombia;1958; annual co? emissions from cement;606925
84; colombia;1959; annual co? emissions from cement;672190
85; colombia;1960; annual co? emissions from cement;723223
86; colombia;1961; annual co? emissions from cement;788640
87; colombia;1962; annual co? emissions from cement;861325
88; colombia;1963; annual co? emissions from cement;908414
89; colombia;1964; annual co? emissions from cement;970190
90; colombia;1965; annual co? emissions from cement;1013800
91; colombia;1966; annual co? emissions from cement;1024870
92; colombia;1967; annual co? emissions from cement;104304000
93; colombia;1968; annual co? emissions from cement;1170080
94; colombia;1969; annual co? emissions from cement;1181140
95; colombia;1970; annual co? emissions from cement;1381030
96; colombia;1971; annual co? emissions from cement;1398280
97; colombia;1972; annual co? emissions from cement;1490120
98; colombia;1973; annual co? emissions from cement;1563430
99; colombia;1974; annual co? emissions from cement;1681520
100; colombia;1975; annual co? emissions from cement;1481030
101; colombia;1976; annual co? emissions from cement;1720620
