"IdGeneracionCap","NombreFuente","NombrePais","NombreAnio","NombreUnidad","ValorProduccion"
1,"térmica renovable","colombia","2021","gwh",79714528.0
2,"térmica renovable","colombia","2020","gwh",7257880064.0
3,"térmica renovable","colombia","2019","gwh",6961332736.0
4,"térmica renovable","colombia","2018","gwh",7300788736.0
5,"térmica renovable","colombia","2017","gwh",6324473344.0
6,"térmica renovable","colombia","2016","gwh",5978140672.0
7,"térmica renovable","colombia","2015","gwh",5138526208.0
8,"térmica renovable","colombia","2014","gwh",4417068032.0
9,"térmica renovable","colombia","2013","gwh",3489880320.0
10,"térmica renovable","colombia","2012","gwh",3438571776.0
11,"térmica renovable","colombia","2011","gwh",3113579776.0
12,"térmica renovable","colombia","2010","gwh",2049860608.0
13,"térmica renovable","colombia","2009","gwh",1039936064.0
14,"térmica renovable","colombia","2008","gwh",4835507200.0
15,"térmica renovable","colombia","2007","gwh",6933824000.0
16,"térmica renovable","colombia","2006","gwh",8776290304.0
17,"térmica renovable","colombia","2005","gwh",1091574016.0
18,"térmica renovable","colombia","2004","gwh",1156766976.0
19,"térmica renovable","colombia","2003","gwh",10527029.0
20,"térmica renovable","colombia","2002","gwh",10286308.0
21,"térmica renovable","colombia","2001","gwh",99081384.0
22,"térmica renovable","colombia","2000","gwh",10478856.0
23,"otros","colombia","2021","gwh",0.0
24,"otros","colombia","2020","gwh",0.0
25,"otros","colombia","2019","gwh",0.0
26,"otros","colombia","2018","gwh",0.0
27,"otros","colombia","2017","gwh",0.0
28,"otros","colombia","2016","gwh",0.0
29,"otros","colombia","2015","gwh",0.0
30,"otros","colombia","2014","gwh",0.0
31,"otros","colombia","2013","gwh",0.0
32,"otros","colombia","2012","gwh",0.0
33,"otros","colombia","2011","gwh",0.0
34,"otros","colombia","2010","gwh",0.0
35,"otros","colombia","2009","gwh",0.0
36,"otros","colombia","2008","gwh",0.0
37,"otros","colombia","2007","gwh",0.0
38,"otros","colombia","2006","gwh",0.0
39,"otros","colombia","2005","gwh",0.0
40,"otros","colombia","2004","gwh",0.0
41,"otros","colombia","2003","gwh",0.0
42,"otros","colombia","2002","gwh",0.0
43,"otros","colombia","2001","gwh",0.0
44,"otros","colombia","2000","gwh",0.0
45,"solar","colombia","2021","gwh",32301688.0
46,"solar","colombia","2020","gwh",1907960320.0
47,"solar","colombia","2019","gwh",1312260224.0
48,"solar","colombia","2018","gwh",1199982080.0
49,"solar","colombia","2017","gwh",538760704.0
50,"solar","colombia","2016","gwh",0.0
51,"solar","colombia","2015","gwh",0.0
52,"solar","colombia","2014","gwh",0.0
53,"solar","colombia","2013","gwh",0.0
54,"solar","colombia","2012","gwh",0.0
55,"solar","colombia","2011","gwh",0.0
56,"solar","colombia","2010","gwh",0.0
57,"solar","colombia","2009","gwh",0.0
58,"solar","colombia","2008","gwh",0.0
59,"solar","colombia","2007","gwh",0.0
60,"solar","colombia","2006","gwh",0.0
61,"solar","colombia","2005","gwh",0.0
62,"solar","colombia","2004","gwh",0.0
63,"solar","colombia","2003","gwh",0.0
64,"solar","colombia","2002","gwh",0.0
65,"solar","colombia","2001","gwh",0.0
66,"solar","colombia","2000","gwh",0.0
67,"eólica","colombia","2021","gwh",6046202.0
68,"eólica","colombia","2020","gwh",1011660800.0
69,"eólica","colombia","2019","gwh",6292682752.0
70,"eólica","colombia","2018","gwh",4343735296.0
71,"eólica","colombia","2017","gwh",307141920.0
72,"eólica","colombia","2016","gwh",5088734208.0
73,"eólica","colombia","2015","gwh",6837744640.0
74,"eólica","colombia","2014","gwh",7023029760.0
75,"eólica","colombia","2013","gwh",576248000.0
76,"eólica","colombia","2012","gwh",5485471232.0
77,"eólica","colombia","2011","gwh",4127194368.0
